input,concurrency,ttft_mean_s,ttft_p99_s,tpot_mean_ms,e2e_mean_s,agg_tok_s,tok_s_per_req
4k,1,0.123,0.123,459.61,16.21,2.2,2.22
4k,2,0.184,0.236,454.77,16.325,4.5,2.24
4k,4,0.302,0.459,460.99,16.55,8.8,2.19
4k,8,0.507,0.867,468.5,16.963,17.0,2.13
4k,16,0.917,1.687,478.89,17.791,32.6,2.04
4k,32,1.754,3.359,488.91,19.474,61.4,1.92
16k,1,0.222,0.222,555.28,19.102,1.8,1.83
16k,2,0.355,0.44,557.85,19.322,3.6,1.81
16k,4,0.608,0.862,562.76,19.742,7.1,1.77
16k,8,0.872,1.463,564.51,20.341,14.0,1.74
16k,16,2.421,3.751,578.91,22.572,25.3,1.58
16k,32,13.416,25.931,585.33,33.788,25.6,0.8
32k,1,0.372,0.372,513.37,18.853,2.0,1.96
32k,2,0.579,0.714,549.03,19.189,3.6,1.82
32k,4,0.846,1.251,541.17,19.734,7.3,1.82
32k,8,1.75,2.827,538.06,21.171,14.0,1.75
32k,16,11.963,24.851,537.26,31.542,13.9,0.87
32k,32,30.987,67.695,548.83,50.827,13.8,0.43
64k,1,0.637,0.637,717.45,25.748,1.4,1.4
64k,2,0.978,1.192,686.69,26.3,2.9,1.44
64k,4,2.276,3.246,705.89,27.999,5.3,1.32
64k,8,16.082,30.803,717.85,41.984,5.3,0.66
64k,16,44.551,87.126,716.99,70.551,5.3,0.33
64k,32,98.915,198.816,720.13,124.952,5.3,0.17
